size,operation,time
100,insert,0
100,remove,0
100,remove_list,0

500,insert,0
500,remove,0
500,remove_list,0

1000,insert,1
1000,remove,0
1000,remove_list,0

5000,insert,44
5000,remove,0
5000,remove_list,0

10000,insert,193
10000,remove,1
10000,remove_list,0

50000,insert,7785
50000,remove,113
50000,remove_list,3

75000,insert,20140
75000,remove,309
75000,remove_list,5

